Recipe,Part,Min,Max,Measurement,Ingredient,Prep
Mediterranean Meatballs,,,1,lb,Ground Turkey,
Mediterranean Meatballs,,,1,cup,Feta Cheese,
Mediterranean Meatballs,,,0.5,cup,Spinach,chopped
Mediterranean Meatballs,,,0.5,cup,Red Onion,
Mediterranean Meatballs,,,3,,Garlic Cloves,minced
Mediterranean Meatballs,,,1,tsp,Mint,chopped
Mediterranean Meatballs,,,2,,Sun Dried Tomatoes,chopped
Mediterranean Meatballs,,,0.25,cup,Panko,
Mediterranean Meatballs,,,1,,Egg,
Mediterranean Meatballs,,,1,tsp,Salt,
Mediterranean Meatballs,,,0.5,tsp,Oregano,
Mediterranean Meatballs,,,0.5,tsp,Black Pepper,
"Sausage, Peppers, and Potatoes",,,1,lb,Sweet Italian Sausage,
"Sausage, Peppers, and Potatoes",,,1,lb,Hot Italian Sausage,
"Sausage, Peppers, and Potatoes",,,2,lb,Red Potatoes,
"Sausage, Peppers, and Potatoes",,,1,,Red Bell Pepper,
"Sausage, Peppers, and Potatoes",,,1,,Yellow Bell Pepper,
"Sausage, Peppers, and Potatoes",,,1,,Green Bell Pepper,
"Sausage, Peppers, and Potatoes",,,1,,Orange Bell Pepper,
"Sausage, Peppers, and Potatoes",,,1,,Red Onion,
"Sausage, Peppers, and Potatoes",,,5,,Garlic Cloves,chopped
"Sausage, Peppers, and Potatoes",,,,,Smoked Paprika,
"Sausage, Peppers, and Potatoes",,,,,Salt,
"Sausage, Peppers, and Potatoes",,,,,Black Pepper,
"Sausage, Peppers, and Potatoes",,,,,Avocado Oil,
Firecracker Chicken Meatballs,Dish,,1,lb,Ground Chicken,
Firecracker Chicken Meatballs,Dish,,0.75,cup,Panko,
Firecracker Chicken Meatballs,Dish,,1,,Egg,
Firecracker Chicken Meatballs,Dish,,2,,Garlic Cloves,
Firecracker Chicken Meatballs,Dish,,0.25,tsp,Paprika,
Firecracker Chicken Meatballs,Dish,,0.5,tsp,Onion Powder,
Firecracker Chicken Meatballs,Dish,,0.75,tsp,Salt,
Firecracker Chicken Meatballs,Dish,,0.5,tsp,Black Pepper,
Firecracker Chicken Meatballs,Sauce,,0.25,cup,Red Hot Sauce,
Firecracker Chicken Meatballs,Sauce,,0.5,cup,Honey,
