Recipe,Step,Description
Mediterranean Meatballs,1,Combine all ingredients and roll into meatballs
Mediterranean Meatballs,2,"Air fry at 400 degrees for 12 minutes, flip halfway"
"Sausage, Peppers, and Potatoes",1,"Brown sausages in skillet, remove and set aside"
"Sausage, Peppers, and Potatoes",2,"Add splash of oil, potatoes, salt, black pepper, and smoked paprika in skillet for 10 minutes"
"Sausage, Peppers, and Potatoes",3,"Add peppers and onions, cook about 8-10 minutes"
"Sausage, Peppers, and Potatoes",4,Add garlic and cook 1-2 minutes
"Sausage, Peppers, and Potatoes",5,Slice sausage and add to skillet
"Sausage, Peppers, and Potatoes",6,Preheat oven 400 degrees and cook dish 30 minutes
Firecracker Chicken Meatballs,1,Preheat oven to 475 degrees
Firecracker Chicken Meatballs,2,"In saucepan, combine all ingredients for the sauce"
Firecracker Chicken Meatballs,3,"Bring to the boil, then simmer for 10 minutes"
Firecracker Chicken Meatballs,4,Combine all ingredients and roll into meatballs
Firecracker Chicken Meatballs,5,Line baking sheet w/ parchment paper and place meatballs
Firecracker Chicken Meatballs,6,"Bake for 12-15 minutes, flip halfway through"
Firecracker Chicken Meatballs,7,Brush meatballs with sauce halfway through
Firecracker Chicken Meatballs,8,"When finished, drizzle more sauce"
Crispy Chicken Drumsticks,1,Combine all spicees with avocado oil
Crispy Chicken Drumsticks,2,Marinate for up to 24 hours
Crispy Chicken Drumsticks,3,"Bake at 425, 25 minutes per side"
Halal Chicken & Rice,1,"Combine chicken spices into a marinade, marinate chicken for 2-24 hours"
Halal Chicken & Rice,2,Cook chicken on medium high heat over skillet
Halal Chicken & Rice,3,Combine all ingredients for the white sauce
Moroccan Keta w/ Yogurt Sauce,1,"Combine all ingredients for kefta and mix thoroughly, mold by hand"
Moroccan Keta w/ Yogurt Sauce,2,Cook to desired temperature
Moroccan Keta w/ Yogurt Sauce,3,Combine all ingredients for yogurt sauce
Egg Roll In A Bowl,1,"Cook ground meat, drain the fat"
Egg Roll In A Bowl,2,"Reduce heat to medium, make small opening and add oil, garlic, and ginger, 1 minute"
Egg Roll In A Bowl,3,"Add rest of the ingredients, saute until cabbage is tender, 4-5 minutes"
Egg Roll In A Bowl,4,"Garnish with green onion, sesame seeds, and sriracha"
Mojo Skirt Steak,1,"Combine all, except steak & cilantro, in a bowl for the marinade"
Mojo Skirt Steak,2,Cut steak into sliced pieces
Mojo Skirt Steak,3,Add steak and marinade in zip lock for 3-4 hours
Mojo Skirt Steak,4,Remove onions and set aside while you grill steak
Mojo Skirt Steak,5,"After steak, saute onions on medium heat until softened"
Mojo Skirt Steak,6,Garnish with lime & cilantro
Blackened Salmon with Garlic Butter Sauce,1,"Add all spices to a bowl, mix well, and coat salmon all sides"
